task,avg_rate,global_rate,total_trials,total_successes,entries,sum_rate
crack-7z-hash,0.621186440677966,0.6106346483704974,583,356,118,73.3
openssl-selfsigned-cert,0.6552259887005649,0.6626506024096386,581,385,118,77.31666666666666
fix-code-vulnerability,0.6694915254237289,0.6649484536082474,582,387,118,79.00000000000001
build-pmars,0.6749999999999999,0.6735395189003437,582,392,118,79.64999999999999
sqlite-with-gcov,0.6944915254237287,0.6880415944540728,577,397,118,81.94999999999999
merge-diff-arc-agi-task,0.6966101694915251,0.6897746967071057,577,398,118,82.19999999999996
pypi-server,0.7033898305084746,0.7051724137931035,580,409,118,83.0
distribution-search,0.7144067796610168,0.7081911262798635,586,415,118,84.29999999999998
hf-model-inference,0.7182203389830507,0.7172413793103448,580,416,118,84.74999999999999
code-from-image,0.7194915254237287,0.7145299145299145,585,418,118,84.89999999999999
regex-log,0.738135593220339,0.733102253032929,577,423,118,87.1
log-summary-date-ranges,0.7406779661016949,0.7375643224699828,583,430,118,87.39999999999999
git-multibranch,0.7440677966101694,0.7365684575389948,577,425,118,87.8
custom-memory-heap-crash,0.7601694915254239,0.761168384879725,582,443,118,89.70000000000002
headless-terminal,0.7615819209039546,0.7718696397941681,583,450,118,89.86666666666665
vulnerable-secret,0.7864406779661013,0.7838765008576329,583,457,118,92.79999999999995
nginx-request-logging,0.8338983050847456,0.8316151202749141,582,484,118,98.39999999999998
portfolio-optimization,0.8409604519774007,0.8376511226252159,579,485,118,99.23333333333328
cobol-modernization,0.8519774011299432,0.8486394557823129,588,499,118,100.5333333333333
git-leak-recovery,0.8830508474576267,0.8802083333333334,576,507,118,104.19999999999996
prove-plus-comm,0.8949152542372877,0.8981001727115717,579,520,118,105.59999999999995
fix-git,0.8983050847457625,0.8974358974358975,585,525,118,105.99999999999999
multi-source-data-merger,0.9050847457627111,0.9039451114922813,583,527,118,106.79999999999991
constraints-scheduling,0.9107344632768359,0.9073756432246999,583,529,118,107.46666666666664
modernize-scientific-stack,0.9423728813559319,0.9413793103448276,580,546,118,111.19999999999996
